geoid,irrigated_share,source_text
08079,0.0,0.00
08081,0.0,0.00
08083,0.0,0.00
08085,0.0,0.00
08087,0.0,0.00
08089,0.0,0.00
08091,0.0,0.00
08093,0.0,0.00
08095,0.0,0.00
08097,0.0,0.00
08099,0.0,0.00
08101,0.0,0.00
08103,0.0,0.00
08105,0.0,0.00
08107,0.0,0.00
08109,0.0,0.00
08111,0.0,0.00
08113,0.0,0.00
08115,0.0,0.00
08117,0.0,0.00
08119,0.0,0.00
08121,0.0,0.00
08123,0.0,0.00
08125,0.0,0.00
09001,0.0,0.00
09003,0.0,0.00
09005,0.0,0.00
09007,0.0,0.00
09009,0.0,0.00
09011,0.0,0.00
09013,0.0,0.00
09015,0.0,0.00
10001,0.0,0.00
10003,0.0,0.00
10005,0.0,0.00
12001,0.0,0.00
12003,0.0,0.00
12005,0.0,0.00
12007,0.0,0.00
12009,0.0,0.00
12011,0.0,0.00
12013,,(D)
12015,0.0,0.00
12017,0.0,0.00
12019,0.0,0.00
12021,0.0,0.00
12023,0.0,0.00
12027,0.0,0.00
12029,0.0,0.00
12031,0.0,0.00
12033,0.0705,7.05
12035,0.0,0.00
12037,0.0,0.00
12039,0.0,0.00
12041,0.0,0.00
12043,0.0,0.00
12045,0.0,0.00
12047,,(D)
12049,0.0,0.00
12051,0.0,0.00
12053,0.0,0.00
12055,0.0,0.00
12057,0.0,0.00
12059,0.0,0.00
12061,0.0,0.00
12063,0.1931,19.31
12065,,(D)
12067,,(D)
12069,0.0,0.00
12071,0.0,0.00
12073,0.0,0.00
12075,0.0,0.00
12077,0.0,0.00
12079,,(D)
12081,0.0,0.00
12083,,(D)
12085,0.0,0.00
12086,0.0,0.00
12087,0.0,0.00
12089,0.0,0.00
12091,,(D)
12093,0.0,0.00
12095,0.0,0.00
12097,0.0,0.00
12099,0.0,0.00
12101,0.0,0.00
12103,0.0,0.00
12105,0.0,0.00
12107,0.0,0.00
12109,0.0,0.00
12111,0.0,0.00
12113,,(D)
12115,0.0,0.00
12117,0.0,0.00
12119,0.0,0.00
12121,0.0,0.00
12123,0.0,0.00
12125,0.0,0.00
12127,0.0,0.00
12129,0.0,0.00
12131,0.0,0.00
12133,0.0,0.00
13001,0.09970000000000001,9.97
13003,0.24719999999999998,24.72
13005,0.0392,3.92
13007,0.5611,56.11
13009,0.0,0.00
13011,0.0,0.00
13013,0.0,0.00
13015,,(D)
13017,0.4343,43.43
13019,0.2968,29.68
13021,0.0,0.00
13023,0.050300000000000004,5.03
13025,0.0,0.00
13027,0.1107,11.07
13029,0.0,0.00
13031,0.1573,15.73
13033,0.47840000000000005,47.84
13035,,(D)
13037,,(D)
13039,0.0,0.00
13043,0.0239,2.39
13045,0.0,0.00
13047,0.0,0.00
13049,0.0,0.00
13051,0.0,0.00
13053,0.0,0.00
13055,,(D)
13057,0.0,0.00
13059,0.0,0.00
13061,0.5046,50.46
13063,0.0,0.00
13065,0.0,0.00
13067,0.0,0.00
13069,0.3803,38.03
13071,0.32030000000000003,32.03
13073,0.0,0.00
13075,0.106,10.60
13077,0.0,0.00
13079,0.0,0.00
13081,0.3164,31.64
13083,0.0,0.00
13085,0.0,0.00
13087,0.5528,55.28
13089,0.0,0.00
13091,0.4017,40.17
13093,0.32030000000000003,32.03
13095,,(D)
13097,0.0,0.00
13099,0.32530000000000003,32.53
13101,,(D)
13103,0.1606,16.06
13105,0.0,0.00
13107,0.139,13.90
13109,0.24719999999999998,24.72
13111,0.0,0.00
13113,0.0,0.00
13115,0.0,0.00
13117,0.0,0.00
13119,0.0,0.00
13121,0.0,0.00
13123,0.0,0.00
13125,,(D)
13127,0.0,0.00
13129,,(D)
13131,0.1216,12.16
13133,0.0,0.00
13135,0.0,0.00
13137,0.0,0.00
13139,0.0,0.00
13141,0.0,0.00
13143,0.0,0.00
13145,0.0,0.00
13147,0.0,0.00
13149,0.0,0.00
13151,0.0,0.00
13153,0.1955,19.55
13155,0.4165,41.65
13157,0.0,0.00
13159,0.0,0.00
13161,,(D)
13163,0.3071,30.71
13165,0.2845,28.45
13167,0.4461,44.61
13169,,(D)
13171,,(D)
13173,0.2138,21.38
13175,0.4357,43.57
13177,,(D)
13179,0.0,0.00
13181,0.0,0.00
13183,0.0,0.00
13185,,(D)
13187,0.0,0.00
13189,,(D)
13191,0.0,0.00
13193,0.7268000000000001,72.68
13195,0.0,0.00
13197,,(D)
13199,,(D)
13201,0.7023,70.23
13205,0.5256000000000001,52.56
13207,0.0,0.00
13209,0.049800000000000004,4.98
13211,,(D)
13213,0.0,0.00
13215,0.0,0.00
13217,0.0,0.00
13219,,(D)
13221,0.0,0.00
13223,0.0,0.00
13225,0.0,0.00
13227,0.0,0.00
13229,0.050199999999999995,5.02
13231,0.0,0.00
13233,,(D)
13235,0.4955,49.55
13237,,(D)
13239,,(D)
13241,0.0,0.00
13243,0.5084000000000001,50.84
13245,0.0,0.00
13247,0.0,0.00
13249,,(D)
13251,0.4498,44.98
13253,0.4935,49.35
13255,0.0,0.00
13257,0.0,0.00
13259,0.0,0.00
13261,0.39289999999999997,39.29
13263,0.0,0.00
13265,0.0,0.00
13267,0.07150000000000001,7.15
13269,0.0,0.00
13271,0.34,34.00
13273,0.4575,45.75
13275,0.1164,11.64
13277,0.3248,32.48
13279,0.244,24.40
13281,0.0,0.00
13283,,(D)
13285,0.0,0.00
13287,0.6518,65.18
13289,0.26489999999999997,26.49
13291,0.0,0.00
13293,,(D)
13295,,(D)
13297,,(D)
13299,,(D)
13301,,(D)
13303,,(D)
13305,0.32880000000000004,32.88
13307,0.2907,29.07
13309,,(D)
13311,0.0,0.00
13313,0.0,0.00
13315,0.2434,24.34
13317,0.0,0.00
13319,,(D)
13321,0.23879999999999998,23.88
15001,0.0,0.00
15003,0.0,0.00
15007,0.0,0.00
15009,0.0,0.00
16001,0.0,0.00
16003,0.0,0.00
16005,0.0,0.00
16007,0.0,0.00
16009,0.0,0.00
16011,0.0,0.00
16013,0.0,0.00
16015,0.0,0.00
16017,0.0,0.00
16019,0.0,0.00
16021,0.0,0.00
16023,0.0,0.00
16025,0.0,0.00
16027,0.0,0.00
16029,0.0,0.00
16031,0.0,0.00
16033,0.0,0.00
16035,0.0,0.00
16037,0.0,0.00
16039,0.0,0.00
16041,0.0,0.00
16043,0.0,0.00
16045,0.0,0.00
16047,0.0,0.00
16049,0.0,0.00
16051,0.0,0.00
16053,0.0,0.00
16055,0.0,0.00
16057,0.0,0.00
16059,0.0,0.00
16061,0.0,0.00
16063,0.0,0.00
16065,0.0,0.00
16067,0.0,0.00
16069,0.0,0.00
16071,0.0,0.00
16073,0.0,0.00
16075,0.0,0.00
16077,0.0,0.00
16079,0.0,0.00
16081,0.0,0.00
16083,0.0,0.00
16085,0.0,0.00
16087,0.0,0.00
17001,0.0,0.00
17003,,(D)
17005,0.0,0.00
17007,0.0,0.00
17009,0.0,0.00
17011,0.0,0.00
17013,0.0,0.00
17015,0.0,0.00
17017,0.0,0.00
17019,0.0,0.00
17021,0.0,0.00
17023,0.0,0.00
17025,0.0,0.00
17027,0.0,0.00
17029,0.0,0.00
17031,0.0,0.00
17033,0.0,0.00
17035,0.0,0.00
17037,0.0,0.00
17039,0.0,0.00
17041,0.0,0.00
17043,0.0,0.00
17045,0.0,0.00
17047,0.0,0.00
17049,0.0,0.00
17051,0.0,0.00
17053,0.0,0.00
17055,0.0,0.00
17057,0.0,0.00
17059,0.0,0.00
17061,0.0,0.00
17063,0.0,0.00
17065,0.0,0.00
17067,0.0,0.00
17069,0.0,0.00
17071,0.0,0.00
17073,0.0,0.00
17075,0.0,0.00
17077,0.0,0.00
17079,0.0,0.00
17081,0.0,0.00
17083,0.0,0.00
17085,0.0,0.00
17087,0.0,0.00
17089,0.0,0.00
17091,0.0,0.00
17093,0.0,0.00
17095,0.0,0.00
17097,0.0,0.00
17099,0.0,0.00
17101,0.0,0.00
17103,0.0,0.00
17105,0.0,0.00
17107,0.0,0.00
17109,0.0,0.00
17111,0.0,0.00
17113,0.0,0.00
17115,0.0,0.00
17117,0.0,0.00
17119,0.0,0.00
17121,0.0,0.00
17123,0.0,0.00
17125,0.0,0.00
17127,0.0,0.00
17129,0.0,0.00
17131,0.0,0.00
17133,0.0,0.00
17135,0.0,0.00
17137,0.0,0.00
17139,0.0,0.00
17141,0.0,0.00
17143,0.0,0.00
17145,0.0,0.00
17147,0.0,0.00
17149,0.0,0.00
17151,0.0,0.00
17153,0.0,0.00
17155,0.0,0.00
17157,0.0,0.00
17159,0.0,0.00
17161,0.0,0.00
17163,0.0,0.00
17165,0.0,0.00
17167,0.0,0.00
17169,0.0,0.00
17171,0.0,0.00
17173,0.0,0.00
17175,0.0,0.00
17177,0.0,0.00
17179,0.0,0.00
17181,0.0,0.00
17183,0.0,0.00
17185,0.0,0.00
17187,0.0,0.00
17189,0.0,0.00
17191,0.0,0.00
17193,0.0,0.00
17195,0.0,0.00
17197,0.0,0.00
17199,0.0,0.00
17201,0.0,0.00
17203,0.0,0.00
18001,0.0,0.00
18003,0.0,0.00
18005,0.0,0.00
18007,0.0,0.00
18009,0.0,0.00
18011,0.0,0.00
18013,0.0,0.00
18015,0.0,0.00
18017,0.0,0.00
18019,0.0,0.00
18021,0.0,0.00
18023,0.0,0.00
18025,0.0,0.00
18027,0.0,0.00
18029,0.0,0.00
18031,0.0,0.00
18033,0.0,0.00
18035,0.0,0.00
18037,0.0,0.00
18039,0.0,0.00
18041,0.0,0.00
18043,0.0,0.00
18045,0.0,0.00
18047,0.0,0.00
18049,0.0,0.00
18051,0.0,0.00
18053,0.0,0.00
18055,0.0,0.00
18057,0.0,0.00
18059,0.0,0.00
18061,0.0,0.00
18063,0.0,0.00
18065,0.0,0.00
18067,0.0,0.00
18069,0.0,0.00
18071,0.0,0.00
18073,0.0,0.00
18075,0.0,0.00
18077,0.0,0.00
18079,0.0,0.00
18081,0.0,0.00
18083,0.0,0.00
18085,0.0,0.00
18087,0.0,0.00
18089,0.0,0.00
18091,0.0,0.00
18093,0.0,0.00
18095,0.0,0.00
18097,0.0,0.00
18099,0.0,0.00
18101,0.0,0.00
18103,0.0,0.00
18105,0.0,0.00
18107,0.0,0.00
18109,0.0,0.00
18111,0.0,0.00
18113,0.0,0.00
18115,0.0,0.00
18117,0.0,0.00
18119,0.0,0.00
18121,0.0,0.00
18123,0.0,0.00
18125,0.0,0.00
18127,0.0,0.00
18129,0.0,0.00
18131,0.0,0.00
18133,0.0,0.00
18135,0.0,0.00
18137,0.0,0.00
18139,0.0,0.00
18141,0.0,0.00
18143,0.0,0.00
18145,0.0,0.00
18147,0.0,0.00
18149,0.0,0.00
18151,0.0,0.00
18153,0.0,0.00
18155,0.0,0.00
18157,0.0,0.00
18159,0.0,0.00
18161,0.0,0.00
18163,0.0,0.00
18165,0.0,0.00
18167,0.0,0.00
18169,0.0,0.00
18171,0.0,0.00
18173,0.0,0.00
18175,0.0,0.00
18177,0.0,0.00
18179,0.0,0.00
18181,0.0,0.00
18183,0.0,0.00
19001,0.0,0.00
19003,0.0,0.00
19005,0.0,0.00
19007,0.0,0.00
19009,0.0,0.00
19011,0.0,0.00
19013,0.0,0.00
19015,0.0,0.00
19017,0.0,0.00
19019,0.0,0.00
19021,0.0,0.00
19023,0.0,0.00
19025,0.0,0.00
19027,0.0,0.00
19029,0.0,0.00
19031,0.0,0.00
19033,0.0,0.00
19035,0.0,0.00
19037,0.0,0.00
19039,0.0,0.00
19041,0.0,0.00
19043,0.0,0.00
19045,0.0,0.00
19047,0.0,0.00
19049,0.0,0.00
19051,0.0,0.00
19053,0.0,0.00
19055,0.0,0.00
19057,0.0,0.00
19059,0.0,0.00
19061,0.0,0.00
19063,0.0,0.00
19065,0.0,0.00
19067,0.0,0.00
19069,0.0,0.00
19071,0.0,0.00
19073,0.0,0.00
19075,0.0,0.00
19077,0.0,0.00
19079,0.0,0.00
19081,0.0,0.00
19083,0.0,0.00
19085,0.0,0.00
19087,0.0,0.00
19089,0.0,0.00
19091,0.0,0.00
19093,0.0,0.00
19095,0.0,0.00
19097,0.0,0.00
19099,0.0,0.00
19101,0.0,0.00
19103,0.0,0.00
19105,0.0,0.00
19107,0.0,0.00
19109,0.0,0.00
19111,0.0,0.00
19113,0.0,0.00
19115,0.0,0.00
19117,0.0,0.00
19119,0.0,0.00
19121,0.0,0.00
19123,0.0,0.00
19125,0.0,0.00
19127,0.0,0.00
19129,0.0,0.00
19131,0.0,0.00
19133,0.0,0.00
19135,0.0,0.00
19137,0.0,0.00
19139,0.0,0.00
19141,0.0,0.00
19143,0.0,0.00
19145,0.0,0.00
19147,0.0,0.00
19149,0.0,0.00
19151,0.0,0.00
19153,0.0,0.00
19155,0.0,0.00
19157,0.0,0.00
19159,0.0,0.00
19161,0.0,0.00
19163,0.0,0.00
19165,0.0,0.00
19167,0.0,0.00
19169,0.0,0.00
19171,0.0,0.00
19173,0.0,0.00
19175,0.0,0.00
19177,0.0,0.00
19179,0.0,0.00
19181,0.0,0.00
19183,0.0,0.00
19185,0.0,0.00
19187,0.0,0.00
19189,0.0,0.00
19191,0.0,0.00
19193,0.0,0.00
19195,0.0,0.00
19197,0.0,0.00
20001,0.0,0.00
20003,0.0,0.00
20005,0.0,0.00
20007,0.10529999999999999,10.53
20009,0.0,0.00
20011,0.0,0.00
20013,0.0,0.00
20015,0.21,21.00
20017,0.0,0.00
20019,0.0,0.00
20021,0.0,0.00
20023,0.0,0.00
20025,0.0,0.00
20027,0.0,0.00
20029,0.0,0.00
20031,0.0,0.00
20033,0.0,0.00
20035,0.0,0.00
20037,0.0,0.00
20039,0.0,0.00
20041,0.0,0.00
20043,0.0,0.00
20045,0.0,0.00
20047,,(D)
20049,0.0,0.00
20051,0.0,0.00
20053,0.0,0.00
20055,,(D)
20057,,(D)
20059,0.0,0.00
20061,0.0,0.00
20063,0.0,0.00
20065,0.0,0.00
20067,,(D)
20069,,(D)
20071,0.0,0.00
20073,0.0,0.00
20075,0.0,0.00
20077,0.035699999999999996,3.57
20079,0.2636,26.36
20081,0.7148,71.48
20083,,(D)
20085,0.0,0.00
20087,0.0,0.00
20089,0.0,0.00
20091,0.0,0.00
20093,0.0,0.00
20095,,(D)
20097,,(D)
20099,0.0,0.00
20101,0.0,0.00
20103,0.0,0.00
20105,0.0,0.00
20107,0.0,0.00
20109,0.0,0.00
20111,0.0,0.00
20113,0.0,0.00
20115,0.0,0.00
20117,0.0,0.00
20119,1.0,100.00
20121,0.0,0.00
20123,0.0,0.00
20125,0.0,0.00
20127,0.0,0.00
20129,0.85,85.00
20131,0.0,0.00
20133,0.0,0.00
20135,0.0,0.00
20137,0.0,0.00
20139,0.0,0.00
20141,0.0,0.00
20143,0.0,0.00
20145,0.0,0.00
20147,0.0,0.00
20149,0.0,0.00
20151,0.3307,33.07
20153,0.0,0.00
20155,0.2045,20.45
20157,0.0,0.00
20159,0.0,0.00
20161,0.0,0.00
20163,0.0,0.00
20165,,(D)
20167,0.0,0.00
20169,0.0,0.00
20171,0.0,0.00
20173,0.1796,17.96
20175,0.1456,14.56
20177,0.0,0.00
20179,0.0,0.00
20181,0.0,0.00
20183,0.0,0.00
20185,0.0,0.00
20187,0.0,0.00
20189,0.7519,75.19
20191,0.0091,0.91
20193,0.0,0.00
20195,0.0,0.00
20197,0.0,0.00
20199,0.0,0.00
20201,0.0,0.00
20203,0.0,0.00
20205,0.0,0.00
20207,0.0,0.00
20209,0.0,0.00
21001,0.0,0.00
21003,0.0,0.00
21005,0.0,0.00
21007,0.0,0.00
21009,0.0,0.00
21011,0.0,0.00
21013,0.0,0.00
21015,0.0,0.00
21017,0.0,0.00
21019,0.0,0.00
21021,0.0,0.00
21023,0.0,0.00
21025,0.0,0.00
21027,0.0,0.00
21029,0.0,0.00
21031,0.0,0.00
21033,0.0,0.00
21035,0.0,0.00
21037,0.0,0.00
21039,0.0,0.00
21041,0.0,0.00
21043,0.0,0.00
21045,0.0,0.00
21047,0.0,0.00
21049,0.0,0.00
21051,0.0,0.00
21053,0.0,0.00
21055,0.0,0.00
21057,0.0,0.00
21059,0.0,0.00
21061,0.0,0.00
21063,0.0,0.00
21065,0.0,0.00
21067,0.0,0.00
21069,0.0,0.00
21071,0.0,0.00
21073,0.0,0.00
21075,0.0,0.00
21077,0.0,0.00
21079,0.0,0.00
21081,0.0,0.00
21083,0.0,0.00
21085,0.0,0.00
21087,0.0,0.00
21089,0.0,0.00
21091,0.0,0.00
21093,0.0,0.00
21095,0.0,0.00
21097,0.0,0.00
21099,0.0,0.00
21101,0.0,0.00
21103,0.0,0.00
21105,0.0,0.00
21107,0.0,0.00
21109,0.0,0.00
21111,0.0,0.00
21113,0.0,0.00
21115,0.0,0.00
21117,0.0,0.00
21119,0.0,0.00
21121,0.0,0.00
21123,0.0,0.00
21125,0.0,0.00
21127,0.0,0.00
21129,0.0,0.00
21131,0.0,0.00
21133,0.0,0.00
21135,0.0,0.00
21137,0.0,0.00
21139,0.0,0.00
21141,0.0,0.00
21143,0.0,0.00
21145,0.0,0.00
21147,0.0,0.00
21149,0.0,0.00
21151,0.0,0.00
21153,0.0,0.00
21155,0.0,0.00
21157,0.0,0.00
21159,0.0,0.00
21161,0.0,0.00
21163,0.0,0.00
21165,0.0,0.00
21167,0.0,0.00
21169,0.0,0.00
21171,0.0,0.00
21173,0.0,0.00
21175,0.0,0.00
21177,0.0,0.00
21179,0.0,0.00
21181,0.0,0.00
21183,0.0,0.00
21185,0.0,0.00
21187,0.0,0.00
21189,0.0,0.00
21191,0.0,0.00
21193,0.0,0.00
21195,0.0,0.00
21197,0.0,0.00
21199,0.0,0.00
21201,0.0,0.00
21203,0.0,0.00
21205,0.0,0.00
21207,0.0,0.00
21209,0.0,0.00
21211,0.0,0.00
21213,0.0,0.00
21215,0.0,0.00
21217,0.0,0.00
21219,0.0,0.00
21221,0.0,0.00
21223,0.0,0.00
21225,0.0,0.00
21227,0.0,0.00
21229,0.0,0.00
21231,0.0,0.00
21233,0.0,0.00
21235,0.0,0.00
21237,0.0,0.00
21239,0.0,0.00
22001,0.0,0.00
22003,0.0,0.00
22005,0.0,0.00
22007,0.0,0.00
22009,,(D)
22011,0.0,0.00
22013,0.0,0.00
22015,,(D)
22017,0.5605,56.05
22019,0.0,0.00
22021,,(D)
22023,0.0,0.00
22025,0.27649999999999997,27.65
22027,0.0,0.00
22029,,(D)
22031,0.0,0.00
22033,0.0,0.00
22035,,(D)
22037,0.0,0.00
22039,0.0,0.00
22041,0.5644,56.44
22043,,(D)
22045,0.0,0.00
22047,0.0,0.00
22049,0.0,0.00
22051,0.0,0.00
22053,0.0,0.00
22055,0.0,0.00
22057,0.0,0.00
22059,0.0,0.00
22061,0.0,0.00
22063,0.0,0.00
22065,0.5266,52.66
22067,0.6076,60.76
22069,,(D)
22071,0.0,0.00
22073,0.5787,57.87
22075,0.0,0.00
22077,,(D)
22079,0.0055000000000000005,0.55
22081,0.0,0.00
22083,0.6640999999999999,66.41
22085,0.0,0.00
22087,0.0,0.00
22089,0.0,0.00
22091,0.0,0.00
22093,0.0,0.00
22095,0.0,0.00
22097,0.0,0.00
22099,0.0,0.00
22101,0.0,0.00
22103,0.0,0.00
22105,0.0,0.00
22107,0.2895,28.95
22109,0.0,0.00
22111,0.0,0.00
22113,0.0,0.00
22115,0.0,0.00
22117,0.0,0.00
22119,0.0,0.00
22121,0.0,0.00
22123,0.9059,90.59
22125,0.0,0.00
22127,0.0,0.00
23001,0.0,0.00
23003,0.0,0.00
23005,0.0,0.00
23007,0.0,0.00
23009,0.0,0.00
23011,0.0,0.00
23013,0.0,0.00
23015,0.0,0.00
23017,0.0,0.00
23019,0.0,0.00
23021,0.0,0.00
23023,0.0,0.00
23025,0.0,0.00
23027,0.0,0.00
23029,0.0,0.00
23031,0.0,0.00
24001,0.0,0.00
24003,0.0,0.00
24005,0.0,0.00
24009,0.0,0.00
24011,0.0,0.00
24013,0.0,0.00
24015,0.0,0.00
24017,0.0,0.00
24019,0.0,0.00
24021,0.0,0.00
24023,0.0,0.00
24025,0.0,0.00
24027,0.0,0.00
24029,0.0,0.00
24031,0.0,0.00
24033,0.0,0.00
24035,0.0,0.00
24037,0.0,0.00
24039,0.0,0.00
24041,0.0,0.00
24043,0.0,0.00
24045,0.0,0.00
24047,0.0,0.00
25001,0.0,0.00
25003,0.0,0.00
25005,0.0,0.00
25007,0.0,0.00
25009,0.0,0.00
25011,0.0,0.00
25013,0.0,0.00
25015,0.0,0.00
25017,0.0,0.00
25019,0.0,0.00
25021,0.0,0.00
25023,0.0,0.00
25025,0.0,0.00
25027,0.0,0.00
26001,0.0,0.00
26003,0.0,0.00
26005,0.0,0.00
26007,0.0,0.00
26009,0.0,0.00
26011,0.0,0.00
26013,0.0,0.00
26015,0.0,0.00
26017,0.0,0.00
26019,0.0,0.00
26021,0.0,0.00
26023,0.0,0.00
26025,0.0,0.00
26027,0.0,0.00
26029,0.0,0.00
26031,0.0,0.00
26033,0.0,0.00
26035,0.0,0.00
26037,0.0,0.00
26039,0.0,0.00
26041,0.0,0.00
26043,0.0,0.00
26045,0.0,0.00
26047,0.0,0.00
26049,0.0,0.00
26051,0.0,0.00
26053,0.0,0.00
26055,0.0,0.00
26057,0.0,0.00
26059,0.0,0.00
26061,0.0,0.00
26063,0.0,0.00
26065,0.0,0.00
26067,0.0,0.00
26069,0.0,0.00
26071,0.0,0.00
26073,0.0,0.00
26075,0.0,0.00
26077,0.0,0.00
26079,0.0,0.00
26081,0.0,0.00
26083,0.0,0.00
26085,0.0,0.00
26087,0.0,0.00
26089,0.0,0.00
26091,0.0,0.00
26093,0.0,0.00
26095,0.0,0.00
26097,0.0,0.00
26099,0.0,0.00
26101,0.0,0.00
26103,0.0,0.00
26105,0.0,0.00
26107,0.0,0.00
26109,0.0,0.00
26111,0.0,0.00
26113,0.0,0.00
26115,0.0,0.00
26117,0.0,0.00
26119,0.0,0.00
26121,0.0,0.00
26123,0.0,0.00
26125,0.0,0.00
26127,0.0,0.00
26129,0.0,0.00
26131,0.0,0.00
26133,0.0,0.00
26135,0.0,0.00
26137,0.0,0.00
26139,0.0,0.00
26141,0.0,0.00
26143,0.0,0.00
26145,0.0,0.00
